lag_weeks,correlation,p_value
0,-0.226,0.0314
1,-0.259,0.0138
2,-0.289,0.006
3,-0.311,0.0032
4,-0.325,0.0021
5,-0.326,0.0022
6,-0.308,0.0041
7,-0.273,0.012
8,-0.221,0.0444
9,-0.155,0.165
10,-0.069,0.5426
11,0.034,0.763
12,0.154,0.1762
