lag_weeks,correlation,p_value
0,-0.084,0.425
1,-0.096,0.3658
2,-0.101,0.3422
3,-0.103,0.3378
4,-0.1,0.3517
5,-0.094,0.3857
6,-0.09,0.4117
7,-0.076,0.4874
8,-0.071,0.5216
9,-0.072,0.5199
10,-0.079,0.4813
11,-0.085,0.4525
12,-0.093,0.4132
